[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliActionListener.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliActionManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEvent$Type.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEvent.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventAdapter.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventAppear.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventChange.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventManager$State.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventObserver.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliEventVanish.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/SikuliX.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/StopExtention.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/TextRecognizer$ListTextMode.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/TextRecognizer.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/TimeBasedAnimator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/TimeValueFunction.class
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-API/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-API/pom.xml
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-API/pom.properties
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/services/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/__init__.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/Env.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/Finder.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/Region.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/Screen.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/Sikuli.py
[debug (30.07.13 18:58:14)] FileManager: adding: Lib/sikuli/SikuliImporter.py
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/services/org.sikuli.basics.IResourceLoader
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/services/org.sikuli.basics.IScriptRunner
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/AutoUpdater.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/CommandArgs.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/CommandArgsEnum.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/Debug.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/Extension.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/ExtensionManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/FileManager$fileFilter.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/FileManager$FileFilterScript.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/FileManager$JarFileFilter.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/FileManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/HotkeyEvent.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/HotkeyListener$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/HotkeyListener.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/HotkeyManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/ImageLocator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/IResourceLoader.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/IScriptRunner.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/KeyCodeConverter.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/LinuxHotkeyManager$HotkeyData.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/LinuxHotkeyManager$MyHotkeyHandler.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/LinuxHotkeyManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/LinuxUtil$SearchType.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/LinuxUtil.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/MacHotkeyManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/MacUtil.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/MultiFrame.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/OS.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/OSUtil.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/PreferencesUser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/Blob.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/DebugCategories.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/FindInput.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/FindResult.class
